1426,SRI RAMANUJAR ENGINEERING COLLEGE
2342,SRI RANGANATHAR INSTITUTE OF ENGINEERING & TECHNOLOGY
1445,SRI RANGAPOOPATHI COLLEGE OF ENGINEERING
1324,SRI SAI RAM INSTITUTE OF TECHNOLOGY
1419,SRI SAIRAM ENGINEERING COLLEGE
2727,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
2302,SRI SHANMUGHA COLLEGE OF ENGINEERING AND TECHNOLOGY
1315,SRI SIVASUBRAMANIYA NADAR COLLEGE OF ENGINEERING
5720,SRI SUBRAMANYA COLLEGE OF ENGINEERING AND TECHNOLOGY
2340,SRI VENKATESHWARA INSTITUTE OF ENGINEERING
1219,SRI VENKATESWARA COLLEGE OF ENGINEERING (AUTONOMOUS)
1116,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY
1121,SRI VENKATESWARA INSTITUTE OF SCIENCE AND TECHNOLOGY
1413,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY
4996,SRI VIDYA COLLEGE OF ENGINEERING & TECHNOLOGY
2765,SRIGURU INSTITUTE OF TECHNOLOGY
3823,SRINIVASAN ENGINEERING COLLEGE
1115,SRIRAM ENGINEERING COLLEGE
5530,SSM INSTITUTE OF ENGINEERING AND TECHNOLOGY
3860,St. ANNE'S COLLEGE OF ENGINEERING AND TECHNOLOGY
1325,St. JOSEPH COLLEGE OF ENGINEERING
3825,St. JOSEPH'S COLLEGE OF ENGINEERING AND TECHNOLOGY
1149,St. JOSEPH'S INSTITUTE OF TECHNOLOGY
1127,St. PETER'S COLLEGE OF ENGINEERING AND TECHNOLOGY
1317,St.JOSEPH'S COLLEGE OF ENGINEERING
5919,St.MICHAEL COLLEGE OF ENGINEERING & TECHNOLOGY
